ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZoneLighting;SportZoneSurfaceType;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;Scheme;GLOBALID;
11;"Крытый ледовый каток «Олимпийский»";"Ледовый каток (искусственный)";"Центральный административный округ";"Мещанский район";"Олимпийский проспект, дом 16";"";"olimpik.ru";"(495) 786-33-30";"да";"да";"да";"да";"да";"да";"нет";"нет";"37.62683429011597";"55.781472173755965";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"Детский билет (до 14 лет) - от 150 руб., взрослый билет - от 200 руб.";"нет";"";"катание на коньках";"facilities.ias.mossport.ru/Application/GetPhotoFile/132735?sportZonePhotoId=1513";"90563439";
12;"Ледовый клуб «Айс Парк»";"Ледовое поле (крытое)";"Юго-Восточный административный округ";"Нижегородский район";"Рязанский проспект, дом 4";"";"www.ice-park.org";"(495) 640-91-30";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.75040292894716";"55.72815367408925";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"Информация на сайте";"нет";"";"катание на коньках; хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/134466?sportZonePhotoId=2526";"90562539";
13;"УДС «Крылья советов»";"Ледовое поле";"Западный административный округ";"Можайский район";"улица Толбухина, дом 10, корпус 4";"ovchinnikov@oaovils.ru";"advtech.ru";"(495) 448-32-61";"да";"да";"нет";"нет";"нет";"нет";"нет";"нет";"37.405762801404315";"55.72035438779279";"понедельник 07:00-23:00; вторник 07:00-23:00; среда 07:00-23:00; четверг 07:00-23:00; пятница 07:00-23:00; суббота 07:00-23:00; воскресенье 07:00-23:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"Цена входного билета - 500 рублей Цена входного билета (студенты дневных отделений, школьники, гости именинников) - 300 рублей Именинники недели, дети до 7 лет - бесплатно";"нет";"";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/132178?sportZonePhotoId=1058";"90562174";
14;"Ледовый дворец ГБОУ ДОДСН «ДЮСШ № 10» Москомспорта";"Ледовое поле";"Зеленоградский административный округ";"район Савёлки";"улица 1 Мая, дом 2";"s10@mossport.ru";"zel-orbita.narod.ru";"(499) 734-23-02";"нет";"нет";"да";"нет";"да";"нет";"нет";"да";"37.2262214895947";"55.98770585472443";"понедельник 06:00-23:00; вторник 06:00-23:00; среда 06:00-23:00; четверг 06:00-23:00; пятница 06:00-23:00; суббота 06:00-23:00; воскресенье 06:00-23:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"280 руб. обучение фигурному катанию, хоккею (разовое)";"да";"частично приспособлен";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/130900?sportZonePhotoId=232";"90563115";
15;"Дворец ледового спорта «Центральный» ГБОУ ДОДСН ФСО «Хоккей Москвы» Москомспорта";"Ледовое поле №2";"Центральный административный округ";"Таганский район";"улица Талалихина, дом 28, строение 4";"fso.hm@mossport.ru";"";"(499) 763-68-40";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.678800707558345";"55.73052211665226";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"бесплатно";"";"нет";"частично приспособлен";"катание на коньках";"facilities.ias.mossport.ru/Application/GetPhotoFile/133083?sportZonePhotoId=1848";"90562474";
16;"Дворец ледового спорта «Центральный» ГБОУ ДОДСН ФСО «Хоккей Москвы» Москомспорта";"Ледовое поле №1";"Центральный административный округ";"Таганский район";"улица Талалихина, дом 28, строение 4";"fso.hm@mossport.ru";"";"(499) 763-68-40";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.67887714079084";"55.7304345192709";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"бесплатно";"";"нет";"";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133084?sportZonePhotoId=1913";"90562475";
17;"ГБОУ ДОДСН «ДЮСШ «Хоккей Москвы» ДЮСШ «Марьино» Москомспорта";"Каток";"Юго-Восточный административный округ";"район Марьино";"Мячковский бульвар, дом 10, корпус 3";"marino@fsohm.ru";"fso-hockeymoscow.ru";"(495) 346-35-00";"нет";"нет";"да";"да";"да";"да";"нет";"да";"37.7541251752715";"55.65380373109457";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"Стоимость 1посещения массового катания: для детей (60 минут)- 100 рублей; для взрослых - 200 рублей, стоимость обучения хоккея/фигурному катанию на льду с тренером в спортивно-оздоровительных группах: 1 занятие (45 минут)-150 руб., 1 занятие (120 мин.) - 400 руб.";"да";"приспособлен для всех групп инвалидов";"катание на коньках; хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/132628?sportZonePhotoId=1400";"90562564";
18;"ФОК с ледовым катком ГБУ «Спортивная школа олимпийского резерва № 23» Москомспорта";"Каток";"Юго-Восточный административный округ";"Нижегородский район";"Рязанский проспект, дом 7, корпус 2";"";"www.swim23.ru";"(499) 784-47-01";"да";"да";"да";"да";"да";"да";"нет";"да";"37.73601720505288";"55.73199793891331";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"100-200 руб.";"нет";"приспособлен для всех групп инвалидов";"";"facilities.ias.mossport.ru/Application/GetPhotoFile/132663?sportZonePhotoId=1408";"90562215";
19;"ФОК с катком и спортивным залом ГБОУ ДОДСН «ДЮСШ № 70 «Молния» Москомспорта";"Ледовое поле";"Северный административный округ";"Дмитровский район";"Лобненская улица, дом 13А, строение 2";"dush-70@mail.ru";"dush70.ru";"(495) 483-35-04";"да";"да";"да";"нет";"да";"да";"нет";"да";"37.534186675992856";"55.88685903729969";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"Массовое катание: взрослый 180 руб., для детей 90 руб. Детские оздоровительные группы: хоккей 150 руб. Фигурное катание 150 руб. Прокат коньков 150 руб. Заточка коньков 150 руб.";"да";"частично приспособлен";"";"facilities.ias.mossport.ru/Application/GetPhotoFile/131476?sportZonePhotoId=2618";"90563143";
20;"ГБОУ КШИ № 11 «Московский дипломатический кадетский корпус»";"Ледовая поле";"Западный административный округ";"район Кунцево";"Оршанская улица, дом 14";"";"mdkk11.mskzapad.ru";"(499) 141-45-01";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.4081785769758";"55.74169525157584";"понедельник 08:30-18:00; вторник 08:30-18:00; среда 08:30-18:00; четверг 08:30-18:00; пятница 08:30-18:00; суббота круглосуточно; воскресенье круглосуточно";"";"освещение газоразрядными лампами";"искусственный лед";"бесплатно";"";"нет";"";"";"facilities.ias.mossport.ru/Application/GetPhotoFile/133056?sportZonePhotoId=1572";"90563498";
21;"ГБУ «Дворец спорта «Мегаспорт»";"Ледовый дворец";"Северный административный округ";"Хорошёвский район";"Ходынский бульвар, дом 3";"info@hockey-palace.ru";"hockey-palace.ru";"(495) 643-18-17";"да";"да";"да";"да";"да";"нет";"да";"да";"37.53985828997135";"55.786588047982136";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"аренда согласно утвержденному прейскуранту (88 340 руб.час)";"да";"приспособлен для лиц с нарушением ОДА";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/131484?sportZonePhotoId=1870";"90561721";
22;"Ледовый дворец ГБОУ ДОДСН «СДЮСШОР № 1» Москомспорта";"Ледовый дворец «Умка»";"Северный административный округ";"район Ховрино";"Левобережная улица, дом 12, корпус 1";"s1@mossport.ru";"umkabm.ru";"(499) 459-53-72";"нет";"нет";"да";"да";"да";"да";"нет";"да";"37.4713244434806";"55.87843386320478";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"бесплатно";"";"да";"приспособлен для всех групп инвалидов";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/131473?sportZonePhotoId=2167";"90563181";
23;"ГБОУ ДОДСН «ДЮСШ № 7» Москомспорта, каток";"Поле ледовое";"Западный административный округ";"район Ново-Переделкино";"Чоботовская улица, дом 6";"s7@mossport.ru";"s7-raduga.ru";"(495) 733-22-77";"нет";"нет";"да";"да";"да";"да";"нет";"да";"37.35158778417951";"55.64598082219979";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"Разовое посещение 200 руб. 45 мин.";"нет";"не приспособлен";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/132024?sportZonePhotoId=894";"90562771";
24;"КП «Спортивный комплекс «Крылатское»";"Ледовое поле";"Западный административный округ";"район Крылатское";"Крылатская улица, дом 16";"kkc@ice-palace.ru";"skating-palace.ru";"(499) 140-62-53";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.435052838216194";"55.76654176094798";"понедельник 08:00-17:00; вторник 08:00-17:00; среда 08:00-17:00; четверг 08:00-17:00; пятница 08:00-17:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"смешанное освещение";"искусственный лед";"платно";"Стоимость посещения массовых катаний в выходные и праздничные дни 300 руб (1 сеанс-2 часа)";"нет";"приспособлен для всех групп инвалидов";"";"facilities.ias.mossport.ru/Application/GetPhotoFile/132026?sportZonePhotoId=895";"90562772";
25;"Ледовый дворец «Созвездие», ГБОУ ДОДСН ФСО «Хоккей Москвы» Москомспорта";"Ледовое поле";"Юго-Западный административный округ";"район Ясенево";"Голубинская улица, дом 28, корпус 3";"";"sozvezdie-2004.narod2.ru";"(495) 423-10-52";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.540039935248096";"55.5933991671237";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"бесплатно";"";"нет";"приспособлен для всех групп инвалидов";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/131379?sportZonePhotoId=457";"90561715";
26;"Ледовый дворец «Хрустальный» ГБОУ ЦО «Самбо-70» Москомспорта";"Ледовое поле";"Юго-Западный административный округ";"район Коньково";"Профсоюзная улица, дом 97, корпус 1";"";"";"(495) 424-30-14";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.52422947281964";"55.637918978896565";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-20:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"бесплатно";"";"нет";"";"катание на коньках";"facilities.ias.mossport.ru/Application/GetPhotoFile/131382?sportZonePhotoId=458";"90562380";
27;"ФОК «Ледовый» ГБУ «ЦФКиС Зеленоградского АО г. Москвы»";"Ледовое поле";"Зеленоградский административный округ";"район Крюково";"город Зеленоград, корпус 2045";"hk-zel@mail.ru";"www.zelaosport.ru";"(499) 729-35-01";"да";"да";"да";"нет";"да";"нет";"нет";"да";"37.16825090615502";"55.9709493241767";"понедельник 09:00-19:00; вторник 09:00-19:00; среда 09:00-19:00; четверг 09:00-19:00; пятница 09:00-19:00; суббота 09:00-19:00; воскресенье 09:00-19:00";"";"смешанное освещение";"искусственный лед";"платно";"Разовое посещение 200 руб/60 мин абонемент 3000 руб/мес";"нет";"частично приспособлен";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/130903?sportZonePhotoId=383";"90563116";
28;"Ледовый дворец ГБОУ ДОДСН «ДЮСШ № 2» Москомспорта";"Ледовое поле (крытое)";"Северо-Восточный административный округ";"район Южное Медведково";"Заповедная улица, дом 3";"s2@mossport.ru";"skmedvedkovo.ru";"(499) 790-30-77";"нет";"нет";"да";"да";"да";"да";"нет";"да";"37.63332357187243";"55.866378258224046";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"";"да";"частично приспособлен";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133648?sportZonePhotoId=2133";"90562852";
29;"ГБОУ ДОДСН «ДЮСШ № 2» Москомспорта";"Ледовое поле (крытое)";"Северо-Восточный административный округ";"район Южное Медведково";"Заповедная улица, дом 52А, строение 2А";"s2@mossport.ru";"skmedvedkovo.ru";"(495) 790-30-77";"нет";"нет";"да";"да";"да";"да";"нет";"да";"37.634311000263764";"55.8661072729664";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"Абонемент из расчета за 1 посещение 150 руб. за 1 час";"да";"частично приспособлен";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133650?sportZonePhotoId=1822";"90562281";
30;"ГБОУ ДОДСН «СДЮСШОР № 85» Москомспорта";"Ледовое поле (крытое)";"Северо-Восточный административный округ";"район Отрадное";"улица Бестужевых, дом 9Б";"sptitsa85@mail.ru";"";"(499) 904-78-71";"нет";"нет";"да";"да";"да";"да";"нет";"да";"37.599659097802224";"55.87141828149577";"понедельник 06:30-23:00; вторник 06:30-23:00; среда 06:30-23:00; четверг 06:30-23:00; пятница 06:30-23:00; суббота 07:00-23:00; воскресенье 07:00-23:00";"";"смешанное освещение";"искусственный лед";"платно";"Разовое посещение: взрослый - 160 руб/час, детский - 80 руб/час, есть льготные категории";"да";"частично приспособлен";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133637?sportZonePhotoId=2218";"90563858";
31;"ГБОУ «МССУОР № 4 им. А.Я. Гомельского» Москомспорта";"Ледовое поле";"Северо-Восточный административный округ";"район Бибирево";"улица Конёнкова, дом 10Б";"uorgomelski@mail.ru";"www.uorgomelski.ru";"(499) 902-49-29";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.61482244232051";"55.89123043056155";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"бесплатно";"Бюджет";"да";"приспособлен для всех групп инвалидов";"";"facilities.ias.mossport.ru/Application/GetPhotoFile/133855?sportZonePhotoId=1946";"90563776";
32;"ГБОУ «МССУОР № 4 им. А.Я. Гомельского» Москомспорта";"Ледовое поле";"Северо-Восточный административный округ";"район Бибирево";"улица Конёнкова, дом 10Б";"uorgomelski@mail.ru";"www.uorgomelski.ru";"(499) 902-49-29";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.61482244232051";"55.89123043056155";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"бесплатно";"Бюджет";"да";"приспособлен для всех групп инвалидов";"";"facilities.ias.mossport.ru/Application/GetPhotoFile/133856?sportZonePhotoId=1947";"90563777";
33;"Ледовый дворец «Метеор» ГБОУ ДОДСН ФСО «Хоккей Москвы» Москомспорта";"Ледовый каток";"Юго-Западный административный округ";"район Южное Бутово";"Чечёрский проезд, дом 23";"meteor@fsohm.ru";"fso-hockeymoscow.ru";"(495) 715-89-09";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.52971819042233";"55.53063559309191";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"";"нет";"приспособлен для всех групп инвалидов";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/131391?sportZonePhotoId=459";"90562381";
34;"ФОК «Звезда» ГБУ «ЦФКиС СЗАО г. Москвы»";"Ледовое поле (каток)";"Северо-Западный административный округ";"район Южное Тушино";"Лодочная улица, дом 1, корпус 1";"cfkis@bk.ru";"www.sport-szao.ru";"(967) 763-53-35";"да";"нет";"да";"нет";"да";"да";"да";"да";"37.464150653657235";"55.84245663799995";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"";"да";"приспособлен для лиц с нарушением ОДА";"катание на коньках; хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133574?sportZonePhotoId=1792";"90563635";
35;"ДС «Янтарь» КП ФСЦ «Строгино»";"Ледовое поле (каток)";"Северо-Западный административный округ";"район Строгино";"улица Маршала Катукова, дом 22";"strogino@yandex.ru";"stroginosport.ru";"(495) 942-88-11";"нет";"нет";"да";"да";"да";"да";"да";"да";"37.41150570740675";"55.804501851456685";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"17393 руб-ч";"нет";"приспособлен для лиц с нарушением ОДА";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133719?sportZonePhotoId=1840";"90563491";
36;"ДС «Янтарь» КП ФСЦ «Строгино»";"Ледовое поле 2 (каток)";"Северо-Западный административный округ";"район Строгино";"улица Маршала Катукова, дом 22";"strogino@yandex.ru";"stroginosport.ru";"(495) 942-88-11";"нет";"нет";"да";"да";"да";"да";"да";"да";"37.41150570740675";"55.804501851456685";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"16663 руб-ч";"нет";"приспособлен для лиц с нарушением ОДА";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133720?sportZonePhotoId=1845";"90563492";
37;"ДЮСШ «Серебряные акулы» ГБОУ ДОДСН ФСО «Хоккей Москвы» Москомспорта";"Ледовое поле (каток)";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"улица Генерала Глаголева, дом 10, корпус 3";"akuly@fsohm.ru";"fso-hockeymoscow.ru";"(499) 199-25-80";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.46619618598314";"55.781268508159975";"понедельник 09:00-19:00; вторник 09:00-19:00; среда 09:00-19:00; четверг 09:00-19:00; пятница 09:00-19:00; суббота 09:00-19:00; воскресенье 09:00-19:00";"";"смешанное освещение";"искусственный лед";"платно";"свободного доступа нет";"да";"приспособлен для лиц с нарушением ОДА";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133592?sportZonePhotoId=1796";"90562850";
