ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;GLOBALID;
11;"Лыжная база";"Лыжная база";"Северо-Западный административный округ";"район Строгино";"улица Твардовского, дом 16, корпус 3";"";"";"(495) 123-45-67";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.41446421892815";"55.796806122901295";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90561753";
12;"Лыжная база";"Лыжная база";"Западный административный округ";"район Кунцево";"улица Василия Ботылёва, дом 41";"";"";"(495) 123-45-67";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.351539258266605";"55.79017291154359";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"платно";"";"нет";"";"катание на лыжах";"90562057";
13;"Лыжная база";"Лыжная база";"Западный административный округ";"район Кунцево";"улица Василия Ботылёва, дом 41";"";"";"(495) 123-45-67";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.351539258266605";"55.79017291154359";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"платно";"";"нет";"";"катание на лыжах";"90562058";
14;"Лыжная база";"Лыжная база";"Северо-Западный административный округ";"район Северное Тушино";"улица Вилиса Лациса, дом 20";"";"";"(495) 495-22-02";"да";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.41825446467066";"55.8627187500975";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90562059";
15;"Лыжная база";"Лыжная база";"Восточный административный округ";"район Гольяново";"Курганская улица, дом 3";"";"";"(495) 306-36-45";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.80904326614225";"55.82849617108867";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"платно";"";"нет";"";"катание на лыжах";"90562244";
16;"Лыжная база";"Лыжная база";"Восточный административный округ";"район Восточный";"Западная улица, дом 16Б, строение 1";"";"";"(499) 780-15-82";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.88037206204158";"55.81519132113195";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"платно";"";"нет";"";"катание на лыжах";"90562245";
17;"Олимпийская деревня-80";"Лыжная база";"Западный административный округ";"район Тропарёво-Никулино";"Мичуринский проспект, дом 7";"ugkh@ugkh.mos.ru";"mos.ru";"(495) 539-53-53";"да";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.509546001787555";"55.70265454086646";"понедельник 09:00-18:00; вторник 09:00-18:00; среда 09:00-18:00; четверг 09:00-18:00; пятница 09:00-18:00; суббота 09:00-18:00; воскресенье 09:00-18:00";"";"бесплатно";"";"нет";"";"";"90562503";
18;"Лыжная база";"Лыжная база";"Северный административный округ";"район Ховрино";"Левобережная улица, дом 12";"";"";"(495) 123-45-67";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.46905276874203";"55.877783522485515";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"платно";"";"нет";"";"катание на лыжах";"90562689";
19;"Лыжная трасса";"Лыжная база";"Юго-Западный административный округ";"район Северное Бутово";"36-й километр Московской Кольцевой Автодороги, строение 8";"";"";"(926) 216-17-27";"да";"да";"да";"да";"да";"нет";"нет";"да";"37.54677612704238";"55.58445286084777";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90562705";
20;"Лыжная база";"Лыжная база";"Северный административный округ";"Молжаниновский район";"4-я улица Новосёлки, дом 2";"";"";"(495) 754-98-48";"да";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.387920735232484";"55.929180885834334";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"бесплатно";"прокат лыж";"нет";"";"катание на лыжах";"90562706";
21;"Лыжная база";"Пункт проката спортивного инвентаря";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 19А";"";"vaosport.ru";"(495) 306-36-45";"да";"да";"да";"нет";"нет";"нет";"нет";"да";"37.89809454986383";"55.723127570547454";"понедельник 09:00-17:00; вторник 09:00-17:00; среда 09:00-17:00; четверг 09:00-17:00; пятница 09:00-17:00; суббота 09:00-17:00; воскресенье 09:00-17:00";"";"платно";"";"нет";"";"катание на лыжах";"90562897";
22;"Лыжная база";"Пункт проката спортивного инветаря";"Восточный административный округ";"район Ивановское";"улица Металлургов, дом 60/1";"";"vaosport.ru";"(495) 306-36-45";"да";"да";"да";"нет";"да";"нет";"нет";"нет";"37.8082909380299";"55.76055403129841";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"платно";"";"нет";"";"катание на лыжах";"90562898";
23;"ФОК «Савелки» ГБУ «ЦФКиС Зеленоградского АО г. Москвы»";"Лыжная база (база лыжная)";"Зеленоградский административный округ";"район Савёлки";"Озёрная аллея, дом 2";"fok_savelki@mail.ru";"fok-savelki.ru";"(499) 735-41-20";"да";"нет";"да";"нет";"да";"да";"нет";"нет";"37.22449682919813";"55.98742978945921";"понедельник 10:00-16:00; вторник 10:00-16:00; среда 10:00-16:00; четверг 10:00-16:00; пятница 10:00-16:00; суббота 10:00-16:00; воскресенье 10:00-16:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90562942";
24;"Спортивный модуль «Самбо-70» Москомспорта";"Лыжная база";"Юго-Западный административный округ";"район Северное Бутово";"улица Поляны, дом 4, строение 1";"";"";"(495) 425-73-11";"да";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.560035055055536";"55.569599582163505";"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-21:00; воскресенье 10:00-21:00";"";"бесплатно";"";"нет";"";"";"90562948";
25;"Лыжная база";"Лыжная база";"Юго-Восточный административный округ";"район Кузьминки";"улица Заречье, дом 7";"";"";"(495) 347-91-32";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.772522584489664";"55.6885805135291";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"платно";"";"нет";"";"катание на лыжах";"90562994";
26;"ФОК «Альбатрос» ГБУ «ЦФКиС ВАО г. Москвы»";"Прокат спортивного инвентаря (отдельностоящий)";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 19А";"fokalbatros@mail.ru";"www.vaosport.ru";"(499) 797-50-20";"да";"нет";"да";"нет";"да";"нет";"нет";"да";"37.89809455382673";"55.72312756402981";"понедельник 09:00-20:00; вторник 09:00-20:00; среда 09:00-20:00; четверг 09:00-20:00; пятница 09:00-20:00; суббота 09:00-20:00; воскресенье 09:00-20:00";"";"платно";"велосипед1 час-150 руб.,велосипед сутки - 500 руб., коньки 1 час - 150 руб., лыжи 2 часа - 150 руб.";"нет";"";"катание на лыжах";"90563001";
27;"Лыжная база";"Лыжная база";"Северный административный округ";"Дмитровский район";"Лобненская улица, дом 13";"";"";"(495) 123-45-67";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.533751976804844";"55.88834129148329";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"бесплатно";"";"нет";"";"катание на лыжах";"90563004";
28;"Лыжная база";"Лыжная база";"Южный административный округ";"район Нагатино-Садовники";"Коломенский проезд, дом 14";"";"";"(495) 382-81-10";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.65261688069823";"55.665003033762574";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"платно";"";"нет";"";"катание на лыжах";"90563008";
29;"Лыжная база при МГУ";"Лыжная база";"Западный административный округ";"район Раменки";"улица Косыгина, дом 29";"";"msu.ru";"(495) 939-10-00";"нет";"нет";"да";"нет";"нет";"нет";"нет";"нет";"37.56761318930427";"55.70636292319768";"понедельник 09:00-18:00; вторник 09:00-18:00; среда 09:00-18:00; четверг 09:00-18:00; пятница 09:00-18:00; суббота круглосуточно; воскресенье круглосуточно";"";"бесплатно";"только для студентов МГУ";"нет";"";"";"90563009";
30;"Лыжная база";"Лыжная база";"Зеленоградский административный округ";"район Крюково";"проезд № 474, дом 3, строение 1";"";"";"(499) 762-33-60";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.19666825157908";"55.97313775948742";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"платно";"";"нет";"";"катание на лыжах";"90563031";
