ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZoneLength;SportZoneLighting;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneHeight;SportZoneService;GLOBALID;
23;"ПКиО Садовники";"Снежная горка в парке";"Южный административный округ";"район Нагатино-Садовники";"Коломенский проезд, дом 14";"kyzay07@yandex.ru";"www.park-kuzminki.ru";"(499) 175-33-69";"да";"нет";"да";"да";"да";"нет";"нет";"нет";"37.6554814754748";"55.66298635759049";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"15";"смешанное освещение";"бесплатно";"";"нет";"";"";"";"90562875";
24;"Музей-заповедник «Царицыно»";"Тюбинговая трасса";"Южный административный округ";"район Орехово-Борисово Северное";"Дольская улица, дом 1";"gmz@tsaritsyno.net";"www.tsaritsyno.net/ru/";"(499) 725-72-87";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.68199985838591";"55.6180736625947";"понедельник 11:00-18:00; вторник 11:00-18:00; среда 11:00-18:00; четверг 11:00-18:00; пятница 11:00-18:00; суббота 11:00-18:00; воскресенье 11:00-18:00";"";"150";"без дополнительного освещения";"бесплатно";"прокат оборудования 100-250 р.";"нет";"";"";"тюбинг";"90562916";
25;"Снежная горка";"Снежная горка";"Центральный административный округ";"район Арбат";"Новинский бульвар, дом 7/1";"";"";"(499) 252-84-22";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.58222151588011";"55.751614103413964";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"5";"освещение лампами накаливания";"бесплатно";"";"нет";"не приспособлен";"1,5";"";"90562939";
26;"Зона отдыха ПИП Измайлово";"Снежная горка в парке";"Восточный административный округ";"район Измайлово";"Измайловский проспект, дом 56";"ooptvao@gmail.com";"mosecovao.ru";"(499) 268-51-58";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.76722410582676";"55.78347027700854";"понедельник 07:00-21:00; вторник 07:00-21:00; среда 07:00-21:00; четверг 07:00-21:00; пятница 07:00-21:00; суббота 07:00-21:00; воскресенье 07:00-21:00";"";"100";"без дополнительного освещения";"бесплатно";"Прокат оборудования - платно.";"нет";"";"";"тюбинг";"90562944";
27;"Спортивная площадка";"Снежная горка";"Центральный административный округ";"район Арбат";"Калошин переулок, дом 6/8";"";"";"(499) 252-84-22";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.592993543973265";"55.748342444918045";"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"5";"освещение лампами накаливания";"бесплатно";"";"нет";"";"";"";"90563016";
28;"Парк «Таганский»";"Большая горка";"Центральный административный округ";"Таганский район";"Таганская улица, дом 40/42";"";"taganskiypark.ru/";"(495) 912-27-17";"да";"нет";"нет";"да";"да";"да";"нет";"нет";"37.661915191319515";"55.741446555328906";"понедельник 07:00-23:00; вторник 07:00-23:00; среда 07:00-23:00; четверг 07:00-23:00; пятница 07:00-23:00; суббота 07:00-23:00; воскресенье 07:00-23:00";"";"3";"освещение газоразрядными лампами";"бесплатно";"Прокат ледянок и тюбингов";"да";"";"3";"";"90563024";
29;"Парк «Таганский»";"Снежная горка в парке (горнолыжный склон)";"Центральный административный округ";"Таганский район";"Таганская улица, дом 40/42";"";"taganskiypark.ru/";"(495) 912-27-17";"да";"нет";"нет";"да";"да";"да";"нет";"нет";"37.66729704370733";"55.738014421230105";"понедельник 07:00-23:00; вторник 07:00-23:00; среда 07:00-23:00; четверг 07:00-23:00; пятница 07:00-23:00; суббота 07:00-23:00; воскресенье 07:00-23:00";"";"3";"освещение газоразрядными лампами";"бесплатно";"аренда тюбинга";"да";"";"4";"";"90563027";
30;"Парк «Сокольники»";"Детская горка";"Восточный административный округ";"район Сокольники";"улица Сокольнический Вал, дом 1, строение 1";"info@park.sokolniki.com";"park.sokolniki.com";"(499) 268-54-30";"да";"нет";"да";"да";"да";"да";"да";"да";"37.67731749775583";"55.79397160416392";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"15";"смешанное освещение";"бесплатно";"";"нет";"";"";"катание на санках";"90563048";
31;"Парк «Сокольники»";"Зэ Горка";"Восточный административный округ";"район Сокольники";"улица Сокольнический Вал, дом 1, строение 1";"info@park.sokolniki.com";"park.sokolniki.com";"(499) 268-54-30";"да";"нет";"да";"да";"да";"да";"да";"да";"37.67399155857754";"55.79666153083956";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"80";"смешанное освещение";"платно";"";"нет";"";"";"";"90563059";
32;"ЛЗ «Теплый стан»";"Санная трасса";"Юго-Западный административный округ";"район Тёплый Стан";"улица Островитянова, дом 10";"gpbuuc@mail.ru";"www.gpbuuc.ru";"(499) 643-22-97";"да";"да";"да";"да";"да";"да";"нет";"да";"37.489746823281806";"55.64235479786947";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"40";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"";"катание на санках";"90563202";
33;"ЛЗ «Теплый стан»";"Санная трасса";"Юго-Западный административный округ";"район Тёплый Стан";"улица Островитянова, дом 10";"gpbuuc@mail.ru";"www.gpbuuc.ru";"(499) 643-22-97";"да";"да";"да";"да";"да";"да";"нет";"да";"37.49133312949233";"55.63363760965046";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"20";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"";"катание на санках";"90563203";
34;"Парк «Фили»";"Тюбинговая трасса (Нарышкинский пруд)";"Западный административный округ";"район Филёвский Парк";"Большая Филёвская улица, дом 22, строение 2";"info@parkfili.com";"parkfili.com";"(499) 145-45-05";"да";"да";"нет";"да";"да";"да";"нет";"нет";"37.4578833932249";"55.739248251080646";"понедельник 14:00-20:00; вторник 14:00-20:00; среда 14:00-20:00; четверг 14:00-20:00; пятница 14:00-20:00; суббота 11:00-21:00; воскресенье 11:00-21:00";"";"85";"без дополнительного освещения";"платно";"";"нет";"";"2,5";"тюбинг";"90563210";
35;"Парк «Фили»";"Зорбинговая трасса";"Западный административный округ";"район Филёвский Парк";"Большая Филёвская улица, дом 22, строение 2";"info@parkfili.com";"parkfili.com";"(499) 145-45-05";"да";"да";"нет";"да";"да";"да";"нет";"нет";"37.48232342461482";"55.74961904596904";"понедельник круглосуточно; вторник круглосуточно; среда 13:00-20:00; четверг 13:00-20:00; пятница 13:00-20:00; суббота 13:00-22:00; воскресенье 13:00-22:00";"";"78";"без дополнительного освещения";"платно";"";"нет";"";"";"зорбинг";"90563233";
36;"ГБОУ ДДТ «Парк «Усадьба Трубецких в Хамовниках»";"Снежная горка в парке";"Центральный административный округ";"район Хамовники";"Усачёва улица, дом 1А/4, строение 1";"";"mospark.ru/parki/parki-moskvy/parki-tsao/usadba-trubetskikh-v-khamovnikakh-detskij-park.html";"(495) 248-07-17";"да";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.57716115847012";"55.729658230649875";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"20";"без дополнительного освещения";"бесплатно";"";"нет";"";"2";"катание на санках";"90563520";
37;"ПИП «Царицыно»";"Тюбинговая трасса";"Южный административный округ";"район Орехово-Борисово Южное";"Шипиловский проезд, дом 63, корпус 1";"oopt.uao@gmail.com";"www.dendropark.info";"(499) 782-78-23";"нет";"нет";"да";"нет";"нет";"да";"нет";"да";"37.70881544152479";"55.60108269195924";"понедельник 09:00-23:00; вторник 09:00-23:00; среда 09:00-23:00; четверг 09:00-23:00; пятница 09:00-23:00; суббота 09:00-23:00; воскресенье 09:00-23:00";"";"100";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"";"тюбинг";"90563596";
38;"Парк «Фили»";"Тюбинговая трасса (Главная аллея парка)";"Западный административный округ";"район Филёвский Парк";"Большая Филёвская улица, дом 22, строение 2";"info@parkfili.com";"parkfili.com";"(499) 145-45-05";"да";"да";"нет";"да";"да";"да";"нет";"нет";"37.48437824032151";"55.75076616915092";"понедельник 10:00-21:00; вторник 10:00-21:00; среда 10:00-21:00; четверг 10:00-21:00; пятница 10:00-21:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"125";"без дополнительного освещения";"платно";"";"нет";"";"";"тюбинг";"90563226";
