ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZoneLength;SportZoneLighting;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;GLOBALID;
11;"Снежный городок";"Снежный городок";"Восточный административный округ";"район Восточное Измайлово";"13-я Парковая улица, дом 40, корпус 2";"";"";"(499) 463-61-92";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.80922998939154";"55.80212659811894";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"3";"смешанное освещение";"бесплатно";"";"нет";"";"игра в снежки";"90562308";
12;"Дворовая спортивная площадка";"Снежный городок";"Восточный административный округ";"район Преображенское";"Алымова улица, дом 3";"";"";"(495) 963-77-00";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.71230595849528";"55.80284364889907";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"15";"освещение лампами накаливания";"бесплатно";"";"нет";"";"игра в снежки";"90562313";
13;"Дворовая площадка";"Снежный городок";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 9А";"sportdosug@preobr.ru";"www.preobr.ru/";"(495) 168-60-77";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.72172056001633";"55.799103401077495";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"10";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"игра в снежки";"90562562";
14;"Парк «Перовский»";"Снежный городок";"Восточный административный округ";"район Перово";"улица Лазо, дом 7";"ppkio@mail.ru";"perovskiypark.ru";"(495) 309-53-42";"да";"нет";"нет";"да";"да";"да";"нет";"нет";"37.776026466109215";"55.74163757831";"понедельник 06:00-23:00; вторник 06:00-23:00; среда 06:00-23:00; четверг 06:00-23:00; пятница 06:00-23:00; суббота 06:00-23:00; воскресенье 06:00-23:00";"";"6";"освещение светодиодными лампами";"бесплатно";"";"да";"";"игра в снежки";"90562848";
15;"Дворовая горка";"Снежный городок (ледяные горки)";"Центральный административный округ";"Мещанский район";"Большая Переяславская улица, дом 17";"ananyevama@cao.mos.ru";"meschanka.info";"(495) 607-33-20";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.638651185764395";"55.7879861726557";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"5";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"";"90562956";
16;"Снежная крепость";"Снежный городок";"Восточный административный округ";"район Метрогородок";"Открытое шоссе, дом 29, корпус 1";"metro@vao.mos.ru";"www.metrogorodok.mos.ru";"(499) 167-04-05";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.76390499620394";"55.827629706313495";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"10";"без дополнительного освещения";"бесплатно";"";"нет";"";"игра в снежки";"90562971";
17;"Снежный городок";"Снежный городок";"Восточный административный округ";"район Богородское";"Игральная улица, дом 4";"";"";"(499) 169-33-41";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.710500833561646";"55.81274638828649";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"5";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"игра в снежки";"90563045";
18;"Дворовая площадка";"Снежный городок";"Восточный административный округ";"район Измайлово";"Измайловский бульвар, дом 31А";"izmaylovo@vao.mos.ru";"izmaylowo.mos.ru";"(495) 652-07-31";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.795285553316646";"55.797770365345656";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"10";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"игра в снежки";"90563075";
19;"Снежный городок";"Снежный городок";"Восточный административный округ";"район Богородское";"Краснобогатырская улица, дом 19, корпус 1";"";"";"(499) 169-33-41";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.698917540054296";"55.813788965151424";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"5";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"игра в снежки";"90563162";
20;"Снежный городок";"Снежный городок";"Восточный административный округ";"район Богородское";"Открытое шоссе, дом 6, корпус 3";"";"";"(499) 169-33-41";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.73291274814417";"55.810945992219146";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"5";"без дополнительного освещения";"бесплатно";"";"нет";"не приспособлен";"игра в снежки";"90563171";
21;"Снежный городок";"Снежный городок (ледяные горки)";"Центральный административный округ";"Мещанский район";"Олимпийский проспект, дом 22";"ananyevama@cao.mos.ru";"";"(495) 608-39-92";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.6238124986693";"55.785788263098084";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"5";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"";"90563195";
22;"Дворовая площадка";"Снежный городок";"Восточный административный округ";"район Измайлово";"Измайловский проспект, дом 77, корпус 1";"uprava.izmaylovo@mail.ru";"izmaylowo.mos.ru";"(495) 652-07-31";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.796161411740975";"55.7883466507796";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"20";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"игра в снежки";"90563464";
23;"снежный городок";"Снежный городок";"Восточный административный округ";"район Преображенское";"Халтуринская улица, дом 12, корпус 1";"";"";"(499) 168-60-77";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.72832559402585";"55.802189832329354";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"15";"освещение светодиодными лампами";"бесплатно";"";"нет";"";"игра в снежки";"90563465";
24;"ГБОУ Школа-интернат № 19";"Снежный городок";"Юго-Западный административный округ";"район Черёмушки";"Новочерёмушкинская улица, дом 48";"hindi19@front.ru";"19int.ru";"(499) 128-69-02";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.56636061302701";"55.67297916140999";"понедельник 08:00-21:00; вторник 08:00-21:00; среда 08:00-21:00; четверг 08:00-21:00; пятница 08:00-21:00; суббота 08:00-21:00; воскресенье 08:00-21:00";"";"15";"освещение лампами накаливания";"бесплатно";"";"нет";"";"игра в снежки";"90563856";
