ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;GLOBALID;
11;"Ледяная горка";"Ледяная горка в парке";"Юго-Восточный административный округ";"район Марьино";"Поречная улица, дом 3, корпус 1";"park850@mail.ru";"www.park850.ru";"(495) 355-48-63";"нет";"нет";"нет";"да";"да";"да";"нет";"да";"37.751968851004186";"55.643679977545844";"понедельник 09:00-20:00; вторник 09:00-20:00; среда 09:00-20:00; четверг 09:00-20:00; пятница 09:00-20:00; суббота 09:00-20:00; воскресенье 09:00-20:00";"";"бесплатно";"";"нет";"частично приспособлен";"";"90562062";
12;"Народный парк";"Ледяная горка в парке";"Юго-Западный административный округ";"район Зюзино";"Болотниковская улица, дом 33, корпус 2";"";"";"(499) 122-13-20";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.58948285157572";"55.659312341908716";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90562071";
13;"Аршиновский парк";"Ледяная горка в парке";"Южный административный округ";"район Царицыно";"Бакинская улица, дом 20";"kyzay07@yandex.ru";"www.park-kuzminki.ru";"(499) 175-33-69";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.654636522855505";"55.621420104595074";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"";"90562075";
14;"Парк «Красная Пресня»";"Ледяные горки";"Центральный административный округ";"Пресненский район";"Мантулинская улица, дом 5, строение 2";"";"p-kp.ru";"(499) 256-13-02";"да";"нет";"да";"да";"да";"да";"нет";"нет";"37.55138166047797";"55.75530629726122";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"нет";"";"";"90562098";
15;"«Измайловский ПКиО»";"Ледяная горка у пруда Круглый с двумя скатами (большая)";"Восточный административный округ";"район Измайлово";"аллея Большого Круга, дом 7";"izmpark@mail.ru";"izmailovsky-park.ru";"(499) 166-61-19";"да";"да";"да";"да";"да";"да";"нет";"нет";"37.749033335294484";"55.770799938974";"понедельник 00:00-23:55; вторник 00:00-23:55; среда 00:00-23:55; четверг 00:00-23:55; пятница 00:00-23:55; суббота 00:00-23:55; воскресенье 00:00-23:55";"";"бесплатно";"";"да";"";"";"90562131";
16;"«Измайловский ПКиО»";"Ледяная горка у пруда Круглый с двумя скатами (большая)";"Восточный административный округ";"район Измайлово";"аллея Большого Круга, дом 7";"izmpark@mail.ru";"izmailovsky-park.ru";"(499) 166-61-19";"да";"да";"да";"да";"да";"да";"нет";"нет";"37.74956173047106";"55.77084369285789";"понедельник 00:00-23:55; вторник 00:00-23:55; среда 00:00-23:55; четверг 00:00-23:55; пятница 00:00-23:55; суббота 00:00-23:55; воскресенье 00:00-23:55";"";"бесплатно";"";"да";"";"";"90562132";
17;"«Измайловский ПКиО»";"Ледяная горка у площади Мужества с двумя скатами (малая)";"Восточный административный округ";"район Измайлово";"аллея Большого Круга, дом 7";"izmpark@mail.ru";"izmailovsky-park.ru";"(499) 166-61-19";"да";"да";"да";"да";"да";"да";"нет";"нет";"37.753019097891034";"55.77170065559375";"понедельник 00:00-23:55; вторник 00:00-23:55; среда 00:00-23:55; четверг 00:00-23:55; пятница 00:00-23:55; суббота 00:00-23:55; воскресенье 00:00-23:55";"";"бесплатно";"";"да";"";"";"90562133";
18;"«Измайловский ПКиО»";"Ледяная горка у Кругового обзора-М с тремя скатами";"Восточный административный округ";"район Измайлово";"аллея Большого Круга, дом 7";"izmpark@mail.ru";"izmailovsky-park.ru";"(499) 166-61-19";"да";"да";"да";"да";"да";"да";"нет";"нет";"37.75205350264542";"55.78260717953684";"понедельник 00:00-23:55; вторник 00:00-23:55; среда 00:00-23:55; четверг 00:00-23:55; пятница 00:00-23:55; суббота 00:00-23:55; воскресенье 00:00-23:55";"";"бесплатно";"";"да";"";"";"90562134";
19;"«Измайловский ПКиО»";"Ледяная горка - Карета у тренажёрного комплекса";"Восточный административный округ";"район Измайлово";"аллея Большого Круга, дом 7";"izmpark@mail.ru";"izmailovsky-park.ru";"(499) 166-61-19";"да";"да";"да";"да";"да";"да";"нет";"нет";"37.75181478604326";"55.77518262726682";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"";"да";"";"";"90562139";
20;"Ледяная горка";"Ледяная горка";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 51, корпус 2";"";"";"(495) 701-44-65";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.87789780502845";"55.74508234025183";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"";"90562173";
21;"ПИП Царицыно, Бирюлевский дендропарк";"Ледяная горка в парке";"Южный административный округ";"район Бирюлёво Восточное";"Липецкая улица, дом 2/16, корпус 7";"oopt.uao@gmail.com";"www.dendropark.info";"(499) 782-78-23";"нет";"нет";"да";"нет";"нет";"да";"нет";"да";"37.67563934585749";"55.59557231011656";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"да";"не приспособлен";"";"90562175";
22;"ПИП Царицыно, Бирюлевский дендропарк";"Ледяная горка в парке";"Южный административный округ";"район Бирюлёво Восточное";"Липецкая улица, дом 2/16, корпус 7";"oopt.uao@gmail.com";"www.dendropark.info";"(499) 782-78-23";"нет";"нет";"да";"нет";"нет";"да";"нет";"да";"37.67595382595093";"55.59800106542716";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"да";"не приспособлен";"";"90562176";
23;"Коломенская набережная";"Ледяная горка в парке";"Южный административный округ";"район Нагатинский Затон";"Коломенская набережная, дом 6";"";"";"(499) 614-76-21";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.70866829622943";"55.68141254596266";"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";"";"бесплатно";"";"нет";"";"";"90562180";
24;"ГБОУ ДООЦ «Парк «Новослободский»";"Ледяная горка в парке";"Центральный административный округ";"Тверской район";"Новослободская улица, дом 58/12, строение 6";"centrnovosl@yandex.ru";"centrnovosl.dop.mskobr.ru";"(499) 972-68-73";"да";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.59648871458708";"55.793250742945624";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90562209";
25;"ПИП «Кузьминки-Люблино»";"Ледяная горка";"Юго-Восточный административный округ";"район Кузьминки";"улица Заречье, дом 8, строение 31";"info@kuzpark.ru";"kuzpark.ru";"(495) 258-45-60";"да";"да";"да";"да";"нет";"нет";"нет";"нет";"37.788725791514175";"55.69447831932095";"понедельник 09:00-20:00; вторник 09:00-20:00; среда 09:00-20:00; четверг 09:00-20:00; пятница 09:00-20:00; суббота 09:00-20:00; воскресенье 09:00-20:00";"";"бесплатно";"прокат сноутюбингов платно";"нет";"не приспособлен";"катание на санках";"90562261";
26;"ПИП «Кузьминки-Люблино»";"Ледяная горка, тюбинг";"Юго-Восточный административный округ";"район Кузьминки";"улица Заречье, дом 8, строение 31";"info@kuzpark.ru";"kuzpark.ru";"(495) 258-45-60";"да";"да";"да";"да";"нет";"нет";"нет";"нет";"37.78484109699366";"55.69371753123831";"понедельник 09:00-20:00; вторник 09:00-20:00; среда 09:00-20:00; четверг 09:00-20:00; пятница 09:00-20:00; суббота 09:00-20:00; воскресенье 09:00-20:00";"";"бесплатно";"прокат сноутюбингов плантый";"нет";"не приспособлен";"катание на санках";"90562268";
27;"Чёрное озеро, 13-14 квартал Крюковского лесопарка";"Ледяная горка в парке";"Зеленоградский административный округ";"район Савёлки";"город Зеленоград, корпус 618";"";"";"(499) 734-53-04";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.237033543358656";"55.991628636668246";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 08:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"бесплатно";"";"нет";"не приспособлен";"катание на санках";"90562274";
28;"Чёрное озеро, 13-14 квартал Крюковского лесопарка";"Ледяная горка в парке";"Зеленоградский административный округ";"район Савёлки";"город Зеленоград, корпус 618";"";"";"(499) 734-53-04";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.23728425918575";"55.99152468998027";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 08:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"бесплатно";"";"нет";"не приспособлен";"катание на санках";"90562275";
29;"Зона отдыха, парк имемни 50-летия Октября";"Тюбинговая трасса";"Западный административный округ";"район Проспект Вернадского";"улица Удальцова, дом 22";"";"moszelenhoz.ru";"(495) 621-88-68";"да";"да";"да";"да";"да";"нет";"нет";"да";"37.505416553165766";"55.678386521370484";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"платно";"";"да";"";"катание на санках";"90562323";
30;"Зона отдыха «Тропарево»";"Ледяная горка в парке";"Юго-Западный административный округ";"район Тёплый Стан";"улица Академика Виноградова, дом 12";"gpbuuc@mail.ru";"www.gpbuuc.ru";"(499) 643-22-97";"да";"нет";"нет";"да";"да";"да";"нет";"нет";"37.48960573381639";"55.63441566838156";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"не приспособлен";"катание на санках";"90562349";
31;"Зона отдыха «Тропарево»";"Ледяная горка в парке";"Юго-Западный административный округ";"район Тёплый Стан";"улица Академика Виноградова, дом 12";"gpbuuc@mail.ru";"www.gpbuuc.ru";"(499) 643-22-97";"да";"нет";"нет";"да";"да";"да";"нет";"нет";"37.48876788356599";"55.63434539728391";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"не приспособлен";"катание на санках";"90562350";
32;"Дворовая площадка";"Снежная ледяная горка";"Восточный административный округ";"район Восточный";"Главная улица, дом 12";"oleg.perepechin@yandex.ru";"www.reu-56msk.ru";"(499) 780-56-00";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.866033974455654";"55.818169373334435";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 08:00-20:00; воскресенье 08:00-20:00";"";"бесплатно";"";"нет";"";"катание на санках";"90562614";
33;"Дворовая площадка";"Ледяная горка в парке";"Центральный административный округ";"район Хамовники";"Комсомольский проспект, дом 35";"";"sportcentrmsk.ru/photos/sportplotchadki/";"(499) 766-99-90";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.57858337921361";"55.722891035446374";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 12:00-22:00; воскресенье 12:00-22:00";"";"бесплатно";"";"нет";"";"";"90562652";
34;"Ледяная горка река Городня";"Ледяная горка в парке";"Южный административный округ";"район Зябликово";"улица Мусы Джалиля, дом 2, корпус 2";"";"";"(495) 396-15-76";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.73557546434203";"55.62997227010261";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"";"";"90562672";
35;"Ледяная горка";"Ледяные горки";"Центральный административный округ";"Таганский район";"Гончарная набережная, дом 3, строение 5";"";"";"(495) 911-07-93";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.64834377238397";"55.73916473907312";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"";"";"90562673";
36;"Снежная горка";"Ледяная горка в парке";"Центральный административный округ";"Тверской район";"Новослободская улица, дом 62, корпус 21";"";"";"(495) 624-17-72";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.59101687180029";"55.79113296780698";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"";"90562675";
37;"Ледяная горка";"Ледяная горка в парке";"Юго-Восточный административный округ";"район Лефортово";"Солдатская улица, дом 15";"podoinikovsa@mail.ru";"uprava-lefortovo.ru";"(495) 361-17-84";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.706256456278076";"55.764415867909456";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"";"нет";"";"";"90562677";
38;"Ледяная горка";"Ледяная горка в парке";"Южный административный округ";"район Чертаново Центральное";"Чертановская улица, дом 45, корпус 2";"";"";"(495) 313-02-10";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.59304244551779";"55.605504737655274";"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";"";"бесплатно";"";"нет";"";"";"90562696";
39;"Ледяная горка";"Ледяная горка в парке";"Юго-Восточный административный округ";"район Печатники";"улица Полбина, дом 52";"sd.pechatniki@gmail.com";"pe4atniki.ru";"(495) 354-28-08";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.724336448222836";"55.676440282001145";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"";"нет";"";"";"90562697";
40;"Ростокинский акведук";"Ледяная горка в парке";"Северо-Восточный административный округ";"район Ростокино";"проспект Мира, дом 186, корпус 1";"info@park.sokolniki.com";"";"(499) 393-92-22";"да";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.657220159562584";"55.83122272226309";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"бесплатно";"прокат тюбингов";"нет";"";"";"90562701";
41;"Парк «Перовский»";"Ледяная горка в парке";"Восточный административный округ";"район Перово";"улица Лазо, дом 7";"ppkio@mail.ru";"perovskiypark.ru";"(495) 309-53-42";"да";"нет";"нет";"да";"да";"да";"нет";"нет";"37.77585212252253";"55.741296343029454";"понедельник 06:00-23:00; вторник 06:00-23:00; среда 06:00-23:00; четверг 06:00-23:00; пятница 06:00-23:00; суббота 06:00-23:00; воскресенье 06:00-23:00";"";"бесплатно";"";"да";"";"катание на санках";"90562846";
42;"Снежная горка";"Ледяные горки";"Центральный административный округ";"район Хамовники";"Комсомольский проспект, дом 15, корпус 1";"";"";"(499) 242-31-30";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.58836243388415";"55.72962659725733";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"";"";"90562901";
43;"Ледяная площадка";"Ледяная горка в парке";"Южный административный округ";"район Царицыно";"Кантемировская улица, дом 31";"";"mcaric.ru";"(495) 321-48-33";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.66348577019867";"55.63642183067854";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90562929";
44;"Московский зоопарк";"Ледяная горка в парке";"Центральный административный округ";"Пресненский район";"Большая Грузинская улица, дом 3, строение 1";"post@moscowzoo.ru";"moscowzoo.ru";"(499) 252-02-92";"нет";"нет";"нет";"да";"да";"нет";"да";"да";"37.583099879802255";"55.76057422357089";"понедельник круглосуточно; вторник 10:00-16:00; среда 10:00-16:00; четверг 10:00-16:00; пятница 10:00-16:00; суббота 10:00-16:00; воскресенье 10:00-16:00";"";"платно";"стоимость 100 рублей";"нет";"";"катание на санках";"90562931";
45;"Снежная горка";"Ледяные горки";"Центральный административный округ";"Таганский район";"Сосинский проезд, дом 8/12";"";"";"(495) 911-07-93";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.675411793508715";"55.72802536962647";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"";"";"90562943";
46;"Зона отдыха ПИП Измайлово";"Ледяная горка в парке";"Восточный административный округ";"район Измайлово";"Измайловский проспект, дом 56";"ooptvao@gmail.com";"mosecovao.ru";"(499) 268-51-58";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.77548446651532";"55.78387248289133";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"бесплатно";"";"нет";"";"";"90562962";
47;"Зона отдыха ПИП Измайлово";"Ледяная горка в парке";"Восточный административный округ";"район Измайлово";"Измайловский проспект, дом 56";"ooptvao@gmail.com";"mosecovao.ru";"(499) 268-51-58";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.77089661474266";"55.78404446773758";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"бесплатно";"";"нет";"";"";"90562963";
48;"Зона отдыха ПИП Измайлово";"Ледяная горка в парке";"Восточный административный округ";"район Измайлово";"Измайловский проспект, дом 56";"ooptvao@gmail.com";"mosecovao.ru";"(499) 268-51-58";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.77720425424342";"55.78617690091443";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"бесплатно";"";"нет";"";"";"90562964";
49;"Дворовая площадка";"Снежная ледяная горка";"Восточный административный округ";"район Восточный";"Главная улица, дом 22";"oleg.perepechin@yandex.ru";"www.reu-56msk.ru";"(499) 780-56-00";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.871035040456114";"55.819522961007515";"понедельник 07:00-23:00; вторник 07:00-23:00; среда 07:00-23:00; четверг 07:00-23:00; пятница 07:00-23:00; суббота 07:00-23:00; воскресенье 07:00-23:00";"";"бесплатно";"";"нет";"";"катание на санках";"90562983";
50;"ПИП «Косинский»";"Ледяная горка в парке";"Восточный административный округ";"район Косино-Ухтомский";"улица Медведева, дом 14";"ooptvao@gmail.com";"www.mosecovao.ru";"(499) 367-89-18";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.883890049475205";"55.71902141421682";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90562997";
51;"Ледяная горка";"Ледяные горки";"Центральный административный округ";"Тверской район";"Новолесная улица, дом 18, корпус 2";"";"";"(495) 624-17-72";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.58959211524146";"55.78405653831185";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90563035";
52;"Парк 60-летия Октября";"Ледяная горка в парке";"Южный административный округ";"район Нагатинский Затон";"проспект Андропова, дом 9";"kuzay07@yandex.ru";"";"(499) 175-33-69";"да";"нет";"да";"да";"да";"нет";"нет";"нет";"37.66876544657798";"55.689609797477694";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"";"90563107";
